CAN,Amnat Charoen
ATH,Ang Thong
ARA,Aranyaprathet
AYU,Ayutthaya
BNK,Ban Kantang
BKH,Ban Khai
BAO,Ban Mak Khaen
MTP,Ban Map Ta Phut
BPG,Ban Pong
BPK,Ban Prakop Customs House
BTP,Ban Talat Takua Pa
BND,Bandon
BAK,Bang Kapi
BAN,Bang Khen
BNP,Bang Nam Prieo
BPH,Bang Phli
BRK,Bang Rak
BSP,Bang Saphan
BKK,Bangkok
BMT,Bangkok Modern Terminals/Bangkok
BNG,Bangnara
BGP,Bangpakong
BAI,Bangpoomai
BSE,Bangsu
BNL,Banlaem
BEN,Benchamas
BET,Betong
BUK,Bueng Kan Customs House
BKT,Buketa Customs House
BFV,Buri Ram Apt
CSD,Chachoengsao
CHN,Chai Nat
CYM,Chaiyaphum
CHA,Chanthaburi
CHD,Chiang Dao Customs House
CKH,Chiang Khan Customs House
CHK,Chiang Khong Customs House
CNX,Chiang Mai International Apt
CHS,Chiang Saen Customs House
CHB,Chon Buri
CHO,Chonburi
CHC,Chong Chom Customs House
CPH,Chumphon
CJM,Chumphon Apt
CHU,Chumporn
DMK,Don Mueang International Apt
ERA,Erawan
HDY,Hat Yai
HOP,Hoping
HHQ,Hua Hin Apt
KAB,Kabin Buri
KLN,Kalasin
KPT,Kamphaeng Phet
KPS,Kamphaeng Saen
KAM,Kamuting
KCB,Kanchanaburi
KNY,Kannayao
KAN,Kantang
KHA,Khanom
KMR,Khemarat Customs House
KTY,Khlong Toei
KLY,Khlong Yai
KKM,Khok Kathiam Apt
KHB,Khon Buri
KKC,Khon Kaen
KLT,Klong Toei
KTL,Klong Toey
KSM,Ko Samui
KLA,Koh Lanta
KNO,Koh Nok
KSI,Koh Sichang
KYO,Koh Yao
KBV,Krabi
KRN,Krathum Baen
LCH,Laem Chabang
LPT,Lampang Apt
LPN,Lamphun
LAS,Lang Suan
LKR,Lat Krabang
LOE,Loei Apt
MAT,Mab Tapud
CEI,Mae Fah Luang - Chiang Rai International Apt
HGN,Mae Hong Son Apt
MAS,Mae Sariang Customs House
MAQ,Mae Sot Apt
MSM,Maha Sarakham
MEK,Meklong
MIN,Min Buri
MDN,Mukdahan
MDH,Mukdahan Customs House
HON,Nakhon Chai Si
NNK,Nakhon Nayok
NPM,Nakhon Pathom
KOP,Nakhon Phanom Apt
NAK,Nakhon Ratchasima Apt
NSA,Nakhon Sawan
NST,Nakhon Si Thammarat
NNT,Nan Nakhon Apt
NRW,Narathiwat
NAW,Narathiwat Apt
NIM,Nim Port
NBO,Nong Bua Lamphu
NGK,Nong Khae
NON,Nong Khaem
QJX,Nong Khai
NYP,Nong Ya Plong
NTB,Nonthaburi
PDB,Padang Besar(Siamese Town)
PAI,Pai
PYY,Pai Apt
PCH,Pak Chong
PKR,Pak Kret
PKB,Pakbara
PKN,Paknam
PKP,Pakpanang
PAT,Pat Bangkok
PTH,Pathum Thani
PBS,Patong Beach
PTN,Pattani
PAN,Pattani Apt
PYX,Pattaya
PCT,Petchaburi
PYT,Phahon Yothin Customs House
PHT,Phan Thong
PHA,Phangnga
PMM,Phanom Sarakham
PTG,Phatthalung
PYO,Phayao
PHE,Phet Buri
PCN,Phetchabun
PHY,Phetchabun Apt
PHZ,Phi Phi Island
PBM,Phibun Mangsahan
PHI,Phichit
PHS,Phitsanulok Apt
PTR,Photharam
KRU,Phra Khanong
PNA,Phra Nakhon si Ayutthaya
PRG,Phra Pradaeng
PPA,Phra Pradeng
PRH,Phrae Apt
HKT,Phuket
PHK,Phuket Customs House
PLA,Platong
PDG,Pluak Daeng
PNB,Prachin Buri
PKK,Prachuap Khiri Khan
PBR,Pran Buri
RNN,Ranong
UNN,Ranong Apt
RAT,Ratchaburi
RYG,Rayong
ROI,Roi Et Apt
RVT,Rubicon Vantage FPSO
SAO,Sadao Customs House
SCS,Sahathai Coastal Seaport
SUP,Sai Buri
SNO,Sakon Nakhon Apt
SAN,Sam Phran
SAM,Samphanthawong
USM,Samui Apt
SAS,Samulsakom
SAP,Samut Prakan
SPS,Samut Prakan Sahathai Terminal
SPR,Samut Prakarn
SSN,Samut Sakorn
SSM,Samut Songkhram
SPK,Samuthprakarn
SBR,Sangkhla Buri Customs House
SBI,Sara Buri
STH,Sathun
SAT,Sattahip
SNT,Satun
SIR,Si Racha
SBP,Siam Bangkok Port
SCT,Siam Container Terminal
SIC,Sichol
SIB,Sing Buri
SSK,Sisaket
SGZ,Songkhla
SKW,Sre Kaew
SRI,Sriracha
THS,Sukhothai Apt
SKL,Su-ngai Kolok Customs House
SUB,Suphan Buri
URT,Surat Thani Apt
SNR,Surin
SIA,Suvarnabhumi International Apt
TAC,Ta-Chalaeb
TKT,Tak Apt
TAB,Tak Bai Customs House
TKH,Takhli Apt
TTE,Tantawan Terminal
THL,Tha Li Customs House
THA,Tha Sala
TPT,Thai prosperity terminal
TCH,Thung Chang Customs House
CCP,Tips Container Terminal
TRG,Trang
TST,Trang Apt
TRT,Trat
TDX,Trat Apt
TPP,Tungprong Pt
UBP,Ubon Ratchathani Apt
UTH,Udon Thani Apt
UCT,Unithai Container Terminal
UTP,U-Tapao Rayong Pattaya International Apt
UTR,Uttaradit
YAL,Yala
YAN,Yan Nawa
YNT,Yasothon
