,TH,CAN,Amnat Charoen,Amnat Charoen,,RL,--3-----,9901,,,
,TH,ATH,Ang Thong,Ang Thong,15,RL,--3-----,0307,,1435N 10027E,
,TH,ARA,Aranyaprathet,Aranyaprathet,,RQ,0-------,9307,,,
,TH,AYU,Ayutthaya,Ayutthaya,10,RL,--3-----,0901,,1420N 10032E,
,TH,BNK,Ban Kantang,Ban Kantang,,RL,1-3-----,9805,,,
,TH,BKH,Ban Khai,Ban Khai,21,RL,--3-----,1301,,0941N 10003E,
,TH,BAO,Ban Mak Khaen,Ban Mak Khaen,,AI,---4----,0001,,,
,TH,MTP,Ban Map Ta Phut,Ban Map Ta Phut,31,RL,1-3-----,0401,,1243N 10109E,
,TH,BPG,Ban Pong,Ban Pong,,RQ,123-----,0501,,1348N 09952E,
+,TH,BPK,Ban Prakop Customs House,Ban Prakop Customs House,90,AA,1-3-----,1601,,0628N 10043E,
,TH,BTP,Ban Talat Takua Pa,Ban Talat Takua Pa,82,RL,1-3-----,0401,,0850N 09822E,
,TH,BND,Bandon,Bandon,,QQ,1-------,8103,,,
,TH,BAK,Bang Kapi,Bang Kapi,10,RL,-----6--,1201,,1346N 10039E,
,TH,BAN,Bang Khen,Bang Khen,10,RL,--3-----,1401,,1352N 10036E,
,TH,BNP,Bang Nam Prieo,Bang Nam Prieo,24,RL,--3-----,1301,,1351N 10104E,
,TH,BPH,Bang Phli,Bang Phli,11,RL,--3-----,1301,,1336N 10043E,
,TH,BRK,Bang Rak,Bang Rak,10,RL,-23-----,0501,,1344N 10032E,
,TH,BSP,Bang Saphan,Bang Saphan,,RL,123-----,0601,,1112N 09931E,
,TH,BKK,Bangkok,Bangkok,10,AI,12345---,1207,,1345N 10031E,
,TH,BMT,Bangkok Modern Terminals/Bangkok,Bangkok Modern Terminals/Bangkok,,RQ,1-3-----,0201,,1336N 10035E,
,TH,BNG,Bangnara,Bangnara,,QQ,1-------,8103,,,
,TH,BGP,Bangpakong,Bangpakong,,RL,1-3-----,0006,,,
,TH,BAI,Bangpoomai,Bangpoomai,,RL,1-3-----,0201,,1330N 10036E,
,TH,BSE,Bangsu,Bangsu,10,RL,-23-----,0607,,1348N 10013E,
,TH,BNL,Banlaem,Banlaem,,QQ,1-------,8103,,,
,TH,BEN,Benchamas,Benchamas,,RQ,1-------,0907,,1031N 10119E,
,TH,BET,Betong,Betong,95,RQ,1-3-----,1001,,0546N 10104E,
+,TH,BUK,Bueng Kan Customs House,Bueng Kan Customs House,38,AA,--3-----,1601,,1822N 10337E,
+,TH,BKT,Buketa Customs House,Buketa Customs House,96,AA,--3-----,1601,,0550N 10153E,
,TH,BFV,Buri Ram Apt,Buri Ram Apt,31,AA,---4----,1507,,1514N 10315E,
,TH,CSD,Chachoengsao,Chachoengsao,24,RL,--3-----,1101,,1342N 10105E,
,TH,CHN,Chai Nat,Chai Nat,35,RQ,--3-----,0901,,1510N 10007E,
,TH,CYM,Chaiyaphum,Chaiyaphum,22,RQ,--3-----,0901,,1547N 10202E,
,TH,CHA,Chanthaburi,Chanthaburi,,QQ,1-------,8103,,,
+,TH,CHD,Chiang Dao Customs House,Chiang Dao Customs House,50,AA,--3-----,1601,,1923N 09858E,
+,TH,CKH,Chiang Khan Customs House,Chiang Khan Customs House,42,AA,--3-----,1601,,1754N 10140E,
+,TH,CHK,Chiang Khong Customs House,Chiang Khong Customs House,57,AA,--3-----,1601,,2016N 10022E,
,TH,CNX,Chiang Mai International Apt,Chiang Mai International Apt,50,AA,---4----,1507,,1846N 09858E,
+,TH,CHS,Chiang Saen Customs House,Chiang Saen Customs House,57,AA,1-3-----,1601,,2019N 10004E,
,TH,CHB,Chon Buri,Chon Buri,,RL,--3-----,9901,QHI,,
,TH,CHO,Chonburi,Chonburi,,RQ,-----6--,1001,,1322N 10059E,
+,TH,CHC,Chong Chom Customs House,Chong Chom Customs House,32,AA,--3-----,1601,,1427N 10341E,
,TH,CPH,Chumphon,Chumphon,86,RL,--3-----,1301,,1030N 09910E,
+,TH,CJM,Chumphon Apt,Chumphon Apt,86,AA,---4----,1601,,1043N 09922E,
,TH,CHU,Chumporn,Chumporn,,QQ,1-------,8103,,,
,TH,DMK,Don Mueang International Apt,Don Mueang International Apt,10,AA,---4----,1507,,1355N 10036E,
,TH,ERA,Erawan,Erawan,,RQ,1-------,0907,,0904N 10124E,
,TH,HDY,Hat Yai,Hat Yai,,AI,1--45---,9805,,,
,TH,HOP,Hoping,Hoping,,RQ,1-------,0401,,2416N 12144E,
,TH,HHQ,Hua Hin Apt,Hua Hin Apt,77,AA,---4----,1507,,1238N 09957E,
,TH,KAB,Kabin Buri,Kabin Buri,25,RL,--3-----,1301,,1359N 10143E,
,TH,KLN,Kalasin,Kalasin,22,RQ,--3-----,0901,,1625N 10330E,
,TH,KPT,Kamphaeng Phet,Kamphaeng Phet,,RL,1-3-----,0607,,1628N 09931E,
,TH,KPS,Kamphaeng Saen,Kamphaeng Saen,73,RQ,--3-----,0901,,1400N 10000E,
,TH,KAM,Kamuting,Kamuting,10,RQ,--3-----,0901,,,
,TH,KCB,Kanchanaburi,Kanchanaburi,,RL,-23-----,0212,,1401N 09931E,
,TH,KNY,Kannayao,Kannayao,,RQ,-----6--,1007,,1350N 10040E,
,TH,KAN,Kantang,Kantang,92,RL,123-----,0401,,0724N 09931E,
,TH,KHA,Khanom,Khanom,,RQ,0-------,9506,,,
+,TH,KMR,Khemarat Customs House,Khemarat Customs House,34,AA,--3-----,1601,,1602N 10512E,
,TH,KTY,Khlong Toei,Khlong Toei,10,RL,123-----,0501,,1343N 10034E,
,TH,KLY,Khlong Yai,Khlong Yai,23,RL,1-3-----,0401,,1146N 10254E,
,TH,KKM,Khok Kathiam Apt,Khok Kathiam Apt,16,AA,---4----,1507,,1452N 10040E,
,TH,KHB,Khon Buri,Khon Buri,30,RQ,--3-----,1007,,1431N 10215E,
,TH,KKC,Khon Kaen,Khon Kaen,40,AI,-234-6--,1001,,1626N 10250E,
,TH,KLT,Klong Toei,Klong Toei,31,RL,--3-----,1207,,1343N 10034E,
,TH,KTL,Klong Toey,Klong Toey,10,RL,1-3-----,1301,,1342N 10035E,
+,TH,KSM,Ko Samui,Ko Samui,84,AA,1-------,1601,,0932N 09956E,
,TH,KLA,Koh Lanta,Koh Lanta,,QQ,1-------,8103,,,
,TH,KNO,Koh Nok,Koh Nok,,QQ,1-------,8103,,,
,TH,KSI,Koh Sichang,Koh Sichang,,QQ,1-------,8103,,,
,TH,KYO,Koh Yao,Koh Yao,,QQ,1-------,8103,,,
,TH,KBV,Krabi,Krabi,,AI,1--4----,9601,,,
,TH,KRN,Krathum Baen,Krathum Baen,74,RL,--3-----,0307,,1339N 10016E,
,TH,LCH,Laem Chabang,Laem Chabang,20,RL,1-3-----,0401,,1305N 10053E,
,TH,LPT,Lampang Apt,Lampang Apt,52,AA,---4----,1507,,1816N 09930E,
,TH,LPN,Lamphun,Lamphun,51,RL,--3-----,0901,,1835N 09901E,
,TH,LAS,Lang Suan,Lang Suan,,QQ,1-------,8103,,,
,TH,LKR,Lat Krabang,Lat Krabang,10,RL,123-----,0701,,,
,TH,LOE,Loei Apt,Loei Apt,42,AA,---4----,1507,,1726N 10143E,
,TH,MAT,Mab Tapud,Mab Tapud,,RQ,1-------,9506,,,
,TH,CEI,Mae Fah Luang - Chiang Rai International Apt,Mae Fah Luang - Chiang Rai International Apt,57,AA,---4----,1507,,1957N 09953E,
,TH,HGN,Mae Hong Son Apt,Mae Hong Son Apt,58,AA,---4----,1507,,1918N 09759E,
+,TH,MAS,Mae Sariang Customs House,Mae Sariang Customs House,58,AA,--3-----,1601,,1810N 09757E,
,TH,MAQ,Mae Sot Apt,Mae Sot Apt,63,AA,---4----,1507,,1642N 09833E,
,TH,MSM,Maha Sarakham,Maha Sarakham,22,RL,--3-----,0901,,1611N 10318E,
,TH,MEK,Meklong,Meklong,,QQ,1-------,8103,,,
,TH,MIN,Min Buri,Min Buri,10,RL,--3-----,0901,,1349N 10044E,
,TH,MDN,Mukdahan,Mukdahan,21,RQ,--3-----,0901,,1632N 10443E,
+,TH,MDH,Mukdahan Customs House,Mukdahan Customs House,49,AA,--3-----,1601,,1636N 10444E,
,TH,HON,Nakhon Chai Si,Nakhon Chai Si,73,RL,-----6--,1201,,1348N 10011E,
,TH,NNK,Nakhon Nayok,Nakhon Nayok,35,RQ,--3-----,0901,,1412N 10112E,
,TH,NPM,Nakhon Pathom,Nakhon Pathom,,RL,--3-----,0201,,1349N 10003E,
#,TH,KOP,Nakhon Phanom Apt,Nakhon Phanom Apt,48,AA,---4----,1601,,1723N 10439E,@Sta@Sub@Coo
,TH,NAK,Nakhon Ratchasima Apt,Nakhon Ratchasima Apt,30,AA,---4----,1507,,1457N 10219E,
,TH,NSA,Nakhon Sawan,Nakhon Sawan,60,RL,-23-----,0307,,1541N 10007E,
,TH,NST,Nakhon Si Thammarat,Nakhon Si Thammarat,,RL,1-34----,0201,,0825N 09957E,
,TH,NNT,Nan Nakhon Apt,Nan Nakhon Apt,55,AA,---4----,1507,,1848N 10047E,
+,TH,NRW,Narathiwat,Narathiwat,96,AA,1-------,1601,,0625N 10149E,
#,TH,NAW,Narathiwat Apt,Narathiwat Apt,96,AA,---4----,1601,,0631N 10145E,@Fun@Sta@Sub@Coo
,TH,NIM,Nim Port,Nim Port,10,RQ,1-------,0212,,,
,TH,NBO,Nong Bua Lamphu,Nong Bua Lamphu,,RL,--3-----,0307,,1710N 10234E,
,TH,NGK,Nong Khae,Nong Khae,19,RL,--3-----,1301,,1420N 10052E,
,TH,NON,Nong Khaem,Nong Khaem,,RL,--3-----,0307,,1341N 10021E,
